chembl.id,chembl.name,efo.id,efo.term,set1,set2,overlap,universe,odds.ratio,p.value,existing.indication,p.adjusted
CHEMBL1421,DASATINIB,EFO_0000673,prostate adenocarcinoma,4246,3249,676,64102,4.21554382208393,5.4362678688507e-167,TRUE,1.817109266703e-164
CHEMBL1751,DIGOXIN,EFO_0000537,hypertension,1932,6014,553,64102,4.16438774385254,5.10825935469882e-133,TRUE,9.43878301150377e-131
CHEMBL1421,DASATINIB,EFO_0003869,breast neoplasm,4246,2205,471,64102,4.18204586280208,1.44645806855762e-118,TRUE,2.10873125692177e-116
CHEMBL1751,DIGOXIN,EFO_0000685,rheumatoid arthritis,1932,3417,377,64102,4.71546351003532,1.96551522023894e-110,TRUE,2.55430922798302e-108
CHEMBL217092,SARACATINIB,EFO_0000249,Alzheimers disease,2438,3757,449,64102,3.9822982287649,5.19843166487197e-108,TRUE,6.47230908878901e-106
CHEMBL1064,SIMVASTATIN,EFO_0000537,hypertension,1206,6014,374,64102,4.5633287245475,1.15468805601072e-100,TRUE,1.26190908978315e-98
CHEMBL180022,NERATINIB,EFO_0003869,breast neoplasm,3106,2205,365,64102,4.28102723429883,2.85221954841002e-97,TRUE,2.96427103066899e-95
CHEMBL98,VORINOSTAT,EFO_0000764,HIV infection,4984,1866,428,64102,3.76765879602038,4.04645374927711e-95,TRUE,4.08526667299467e-93
CHEMBL809,SERTRALINE,EFO_0000537,hypertension,1061,6014,334,64102,4.63948449555225,8.73370609430654e-92,TRUE,8.46063525754591e-90
CHEMBL502835,NINTEDANIB,EFO_0000673,prostate adenocarcinoma,2163,3249,351,64102,3.94644149333956,1.53650416128027e-85,TRUE,1.36874299265069e-83
CHEMBL865,VALDECOXIB,EFO_0000685,rheumatoid arthritis,1757,3417,319,64102,4.24231159495424,1.18777869165634e-84,TRUE,1.03449668796196e-82
CHEMBL255863,NILOTINIB,EFO_0000249,Alzheimers disease,2045,3757,367,64102,3.78527105487747,2.09643702672618e-84,TRUE,1.82161720805874e-82
CHEMBL1484,NICARDIPINE,EFO_0000537,hypertension,897,6014,292,64102,4.84845453382375,4.21008402316752e-84,TRUE,3.63689505167807e-82
CHEMBL1064,SIMVASTATIN,EFO_0000289,bipolar disorder,1206,5835,342,64102,4.13669392965615,6.36759148297515e-84,TRUE,5.43736623698701e-82
CHEMBL1491,AMLODIPINE,EFO_0000537,hypertension,1133,6014,333,64102,4.19764755117894,9.48024402943457e-83,TRUE,7.9310203856166e-81
CHEMBL809,SERTRALINE,EFO_0003758,autism,1061,5501,298,64102,4.34160424865836,5.38061428792856e-78,TRUE,4.11616993026535e-76
CHEMBL1064,SIMVASTATIN,EFO_0004211,Hypertriglyceridemia,1206,3627,257,64102,4.7832344378392,9.52746693952758e-78,TRUE,7.26603992032522e-76
