"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"PSA"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"ACD ApKa"	"ACD BpKa"	"ACD LogP"	"ACD LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA Lipinski"	"HBD Lipinski"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Molecular Species"	"Molecular Formula"	"Smiles"
"CHEMBL3545249"	"GLPG-0555"	"GLPG-0555"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3039561"	"STENFILCON A"	"STENFILCON A"	"Small molecule"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545025"	"INSM-18"	"INSM-18"	"Small molecule"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201450"	"ALBUMIN, CHROMATED CR 51 SERUM"	"51CR|ALBUMIN CHROMATED CR-51 SERUM|ALBUMIN, CHROMATED CR 51 SERUM|Albumin chromated cr-51 serum|CHROMALBIN"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109582"	"81C6 131I"	"81C6|81C6 131I"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545306"	"SULFUR HEXAFLUORIDE LIPID MICROSPHERE"	"LUMASON|SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109452"	"MEDI-4212"	"MEDI-4212"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2096656"	"TECHNETIUM TC 99M PENTETATE"	"AN-DTPA|DTPA|HUMAN SERUM ALBUMIN DIETHYLENETRIAMINEPENTAACETIC ACID TECHNETIUM (99MTC) INJECTION|MPI DTPA KIT - CHELATE|TC 99M DTPA KIT (CHELATE)|TECHNEPLEX|TECHNETIUM (99MTC) PENTETIC ACID|TECHNETIUM TC 99M PENTETATE|TECHNETIUM TC 99M PENTETATE SODIUM|TECHNETIUM TC-99M PENTETATE KIT|Technetium tc-99m pentetate kit"	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201620"	"SOMATREM"	"PROTROPIN|SOMATREM"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109572"	"ANTI-SCLEROSTIN"	"ANTI-SCLEROSTIN"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109366"	"ANTI-TAC 90 Y-HAT"	"ANTI-TAC 90 Y-HAT"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108789"	"TECOGALAN SODIUM"	"DS-4152|TECOGALAN SODIUM"	"Unknown"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108148"	"THROMBOPLASTIN"	"TACHOSTYPTAN|THROMBOPLASTIN"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109342"	"HGS-1025"	"HGS-1025"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108462"	"GALASOMITE"	"GALASOMITE|SBI-0067|SYNSORB PK"	"Unknown"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109527"	"MEDI-578"	"MEDI-578"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108456"	"OCUFILCON D"	"OCUFILCON D"	"Small molecule"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108117"	"SITOSTEROLS"	"CYTELLIN|SITOSTEROL|SITOSTEROLS"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2110568"	"CHROMIC PHOSPHATE"	""	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"1"	""	""	""	""	""	""	""	""
"CHEMBL2108182"	"CORTICORELIN"	"CORTICORELIN"	"Protein"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3544997"	"LS-104"	"LS-104"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109181"	"NEBACUMAB"	"CENTOXIN|HA-1A|NEBACUMAB|SEPTOMONAB"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109544"	"CDP-860"	"CDP-860"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109448"	"MAB-216"	"MAB-216"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201656"	"INSULIN SUSP ISOPHANE PURIFIED PORK"	"INSULIN INSULATARD NPH NORDISK|INSULIN SUSP ISOPHANE PURIFIED PORK|Insulin susp isophane purified pork|NPH ILETIN II (PORK)|NPH PURIFIED PORK ISOPHANE INSULIN"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201448"	"ARDEPARIN SODIUM"	"ARDEPARIN SODIUM|Ardeparin sodium|NORMIFLO|WY-90493 RD"	"Oligosaccharide"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201643"	"INSULIN ZINC SUSP PROMPT PURIFIED PORK"	"INSULIN ZINC SUSP PROMPT PURIFIED PORK|Insulin zinc susp prompt purified pork|SEMILENTE"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109327"	"CSL-360"	"CSL-360"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545173"	"IRX4310"	"IRX4310"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
