	0	1	2	3	Disease/Drug	Fold_Change	Gene_Name	Regulation
0	Melanoma	down	TUBA1A	-0.19203437864780426				
1	Melanoma	down	RPS14P3	-0.16989663243293762				
2	Melanoma	down	RPS2	-0.1315123438835144				
3	Melanoma	down	RPL8	-0.12691664695739746				
4	Melanoma	down	EEF1G	-0.1161651760339737				
5	Melanoma	down	RPL13A	-0.10919934511184692				
6	Melanoma	down	FOS	-0.10674329847097397				
7	Melanoma	down	RPL13AP5	-0.10084996372461319				
8	Melanoma	down	RPS5	-0.0970977172255516				
9	Melanoma	down	UBC	-0.09577102959156036				
10	Melanoma	down	HSPB1	-0.09465836733579636				
11	Melanoma	down	SEPW1	-0.09359410405158997				
12	Melanoma	down	RPS3	-0.092435821890831				
13	Melanoma	down	RPLP0P6	-0.09171801060438156				
14	Melanoma	down	RPL4	-0.09092675894498825				
15	Melanoma	down	RPS10	-0.09067434817552567				
16	Melanoma	down	EEF2	-0.08620107173919678				
17	Melanoma	down	RPLP0	-0.08098407089710236				
18	Melanoma	down	RPS4Y1	-0.08095935732126236				
19	Melanoma	down	SH3KBP1	-0.0778474435210228				
20	Melanoma	down	RPS18	-0.06828581541776657				
21	Melanoma	down	RPL9	-0.06476238369941711				
22	Melanoma	down	RPL29	-0.06475672870874405				
23	Melanoma	down	COX2	-0.064542256295681				
24	Melanoma	down	EIF3CL	-0.0633062869310379				
25	Melanoma	down	CRYAB	-0.06102484464645386				
26	Melanoma	down	RPL12	-0.056527845561504364				
27	Melanoma	down	HLA-A	-0.05402818322181702				
28	Melanoma	down	COX1	-0.05074905604124069				
29	Melanoma	down	RPS20	-0.05016211047768593				
30	Melanoma	down	HSPA1A	-0.04893561452627182				
31	Melanoma	down	GABARAP	-0.04872720316052437				
32	Melanoma	down	RPL3	-0.04806600883603096				
33	Melanoma	down	RPSA	-0.0465262345969677				
34	Melanoma	down	RPL32	-0.04623713716864586				
35	Melanoma	down	DCAF6	-0.04557895287871361				
36	Melanoma	down	DEGS1	-0.04478301852941513				
37	Melanoma	down	ACTG1	-0.04445197433233261				
38	Melanoma	down	RPL7A	-0.04442623630166054				
39	Melanoma	down	MT1X	-0.04420090094208717				
40	Melanoma	down	PLP2	-0.04344363138079643				
41	Melanoma	down	DHCR24	-0.043204277753829956				
42	Melanoma	down	TUBB4B	-0.0430891215801239				
43	Melanoma	down	IER2	-0.04249756410717964				
44	Melanoma	down	PAM	-0.04191424697637558				
45	Melanoma	down	RPS13	-0.04170626401901245				
46	Melanoma	down	RPL41	-0.041381243616342545				
47	Melanoma	down	PNRC1	-0.03989678621292114				
48	Melanoma	down	TMBIM1	-0.038872573524713516				
49	Melanoma	down	TUBB2A	-0.03878124803304672				
50	Melanoma	down	DYNLL1	-0.0387762151658535				
51	Melanoma	down	SERPINF1	-0.03841466084122658				
52	Melanoma	down	CHCHD2	-0.038205526769161224				
53	Melanoma	down	MT1E	-0.0382007472217083				
54	Melanoma	down	C4orf46	-0.03817719966173172				
55	Melanoma	down	RPL35	-0.037611499428749084				
56	Melanoma	down	ANXA2P2	-0.03760620951652527				
57	Melanoma	down	ND2	-0.036666713654994965				
58	Melanoma	down	PHB2	-0.03656865656375885				
59	Melanoma	down	H3F3B	-0.03611196577548981				
60	Melanoma	down	EEF1A1P9	-0.03580917790532112				
61	Melanoma	down	TUBB3	-0.03538045287132263				
62	Melanoma	down	SPARC	-0.03486357629299164				
63	Melanoma	down	MT2A	-0.03317375108599663				
64	Melanoma	down	TXNIP	-0.03289663791656494				
65	Melanoma	down	GAPDH	-0.032229915261268616				
66	Melanoma	down	MT1H	-0.032169003039598465				
67	Melanoma	down	HSPA1B	-0.03148037567734718				
68	Melanoma	down	ACSL1	-0.03130713850259781				
69	Melanoma	down	ALDH2	-0.03130515664815903				
70	Melanoma	down	ZFP36	-0.03129534050822258				
71	Melanoma	down	PSAP	-0.031253136694431305				
72	Melanoma	down	APOD	-0.03097444213926792				
73	Melanoma	down	RPL36	-0.030894894152879715				
74	Melanoma	down	MTCH1	-0.03056677244603634				
75	Melanoma	down	OAZ1	-0.030538704246282578				
76	Melanoma	down	NOV	-0.02939159795641899				
77	Melanoma	down	TSPO	-0.029329143464565277				
78	Melanoma	down	RPS6	-0.028614088892936707				
79	Melanoma	down	FBL	-0.028469862416386604				
80	Melanoma	down	RPL11	-0.028431963175535202				
81	Melanoma	down	SERINC5	-0.02816578559577465				
82	Melanoma	down	SERF2	-0.028075216338038445				
83	Melanoma	down	ANXA2	-0.02721259370446205				
84	Melanoma	down	C12orf57	-0.026639588177204132				
85	Melanoma	down	NOP10	-0.026250457391142845				
86	Melanoma	down	RPL19	-0.02594052441418171				
87	Melanoma	down	DPYSL2	-0.025522654876112938				
88	Melanoma	down	C1orf198	-0.025226248428225517				
89	Melanoma	down	S100A10	-0.025174099951982498				
90	Melanoma	down	ADD3	-0.02496952749788761				
91	Melanoma	down	RPS23	-0.024960186332464218				
92	Melanoma	down	RPL21	-0.02482425421476364				
93	Melanoma	down	PFDN5	-0.024635765701532364				
94	Melanoma	down	RTN4	-0.024578630924224854				
95	Melanoma	down	PEPD	-0.02448352612555027				
96	Melanoma	down	FAU	-0.02426719106733799				
97	Melanoma	down	SRPX	-0.02403687685728073				
98	Melanoma	down	SLC38A2	-0.02396252751350403				
99	Melanoma	down	SLC25A6	-0.02379344403743744				
100	Melanoma	down	ACADVL	-0.023641586303710938				
101	Melanoma	down	EIF3G	-0.023288864642381668				
102	Melanoma	down	BCAP31	-0.023173246532678604				
103	Melanoma	down	QARS	-0.022998232394456863				
104	Melanoma	down	CLIC1	-0.022977398708462715				
105	Melanoma	down	LGALS1	-0.02292771078646183				
106	Melanoma	down	RPL27	-0.022802824154496193				
107	Melanoma	down	SPON2	-0.022387010976672173				
108	Melanoma	down	COX8A	-0.02227342501282692				
109	Melanoma	down	UBA52	-0.022181669250130653				
110	Melanoma	down	VPS51	-0.02186037413775921				
111	Melanoma	down	ECHS1	-0.02158481627702713				
112	Melanoma	down	CAPN3	-0.02157014235854149				
113	Melanoma	down	RPS17	-0.021298756822943687				
114	Melanoma	down	TGFB1I1	-0.021071799099445343				
115	Melanoma	down	MT1HL1	-0.020995596423745155				
116	Melanoma	down	FIS1	-0.020753979682922363				
117	Melanoma	down	THBS2	-0.02067073993384838				
118	Melanoma	down	VAT1	-0.020195627585053444				
119	Melanoma	down	CAPNS1	-0.019883310422301292				
120	Melanoma	down	RPL10	-0.019848069176077843				
121	Melanoma	down	DDR1	-0.019624166190624237				
122	Melanoma	down	HIGD2A	-0.01928272843360901				
123	Melanoma	down	RPL36A	-0.019139185547828674				
124	Melanoma	down	SERPINH1	-0.019108790904283524				
125	Melanoma	down	ATP5B	-0.019015979021787643				
126	Melanoma	down	EGR3	-0.018970858305692673				
127	Melanoma	down	CD81	-0.018859487026929855				
128	Melanoma	down	EEF1B2	-0.018834661692380905				
129	Melanoma	down	PIP	-0.01879328489303589				
130	Melanoma	down	RRAGA	-0.01845044456422329				
131	Melanoma	down	EIF1	-0.01842978037893772				
132	Melanoma	down	CFAP20	-0.01836364157497883				
133	Melanoma	down	RNF128	-0.018212944269180298				
134	Melanoma	down	ELOVL1	-0.0182114876806736				
135	Melanoma	down	GDI2	-0.018058251589536667				
136	Melanoma	down	FAM213A	-0.0180312842130661				
137	Melanoma	down	CSRP1	-0.017972486093640327				
138	Melanoma	down	SPARCL1	-0.01792287640273571				
139	Melanoma	down	PPP1CA	-0.01761445589363575				
140	Melanoma	down	TAF7	-0.01756887137889862				
141	Melanoma	down	KLF6	-0.017510000616312027				
142	Melanoma	down	DBI	-0.01750355027616024				
143	Melanoma	down	RPS4X	-0.017296047881245613				
144	Melanoma	down	VDAC2	-0.01720413938164711				
145	Melanoma	down	RPS29	-0.017195185646414757				
146	Melanoma	down	TUFT1	-0.01718652993440628				
147	Melanoma	down	TAGLN2	-0.017092615365982056				
148	Melanoma	down	RABAC1	-0.01700850948691368				
149	Melanoma	down	C14orf132	-0.017000852152705193				
150	Melanoma	down	MKNK2	-0.016996584832668304				
151	Melanoma	down	CLSTN1	-0.016902126371860504				
152	Melanoma	down	NDN	-0.016829876229166985				
153	Melanoma	down	ZNF667-AS1	-0.01662958227097988				
154	Melanoma	down	ALDH3A2	-0.016509419307112694				
155	Melanoma	down	CDKN1B	-0.01642138510942459				
156	Melanoma	down	RPL23A	-0.01634266786277294				
157	Melanoma	down	BTBD6	-0.016294168308377266				
158	Melanoma	down	TUBB	-0.016275065019726753				
159	Melanoma	down	OCA2	-0.016239700838923454				
160	Melanoma	down	EIF3D	-0.016082698479294777				
161	Melanoma	down	GPX4	-0.016061602160334587				
162	Melanoma	down	EEF2K	-0.01605389639735222				
163	Melanoma	down	EGR1	-0.01604757085442543				
164	Melanoma	down	IMPA2	-0.01603740081191063				
165	Melanoma	down	JUNB	-0.0159904807806015				
166	Melanoma	down	SEC31B	-0.015958677977323532				
167	Melanoma	down	PRPF8	-0.01584714464843273				
168	Melanoma	down	SDC4	-0.01583917625248432				
169	Melanoma	down	HINT2	-0.015786627307534218				
170	Melanoma	down	PPAP2A	-0.015751423314213753				
171	Melanoma	down	RNASEK	-0.015747131779789925				
172	Melanoma	down	DNAJB1	-0.015707196667790413				
173	Melanoma	down	NXN	-0.015625227242708206				
174	Melanoma	down	CCNB1IP1	-0.015605228021740913				
175	Melanoma	down	PEBP1	-0.01555908564478159				
176	Melanoma	down	VKORC1	-0.015430296771228313				
177	Melanoma	down	CRIP2	-0.015325202606618404				
178	Melanoma	down	BZW2	-0.015216811560094357				
179	Melanoma	down	PPIB	-0.014854364097118378				
180	Melanoma	down	SERINC3	-0.014651650562882423				
181	Melanoma	down	P4HB	-0.01455469336360693				
182	Melanoma	down	GLTP	-0.014471925795078278				
183	Melanoma	down	UQCRFS1	-0.014406685717403889				
184	Melanoma	down	GSTM3	-0.014384589157998562				
185	Melanoma	down	HK1	-0.014281567186117172				
186	Melanoma	down	TMEM147	-0.014184966683387756				
187	Melanoma	down	H3F3AP4	-0.014128769747912884				
188	Melanoma	down	PRDX5	-0.014043577946722507				
189	Melanoma	down	DDB1	-0.013969408348202705				
190	Melanoma	down	RPL18AP3	-0.013878179714083672				
191	Melanoma	down	PIH1D1	-0.01378681417554617				
192	Melanoma	down	KIAA1191	-0.013618175871670246				
193	Melanoma	down	GSTM1	-0.013601761311292648				
194	Melanoma	down	PLP1	-0.013560894876718521				
195	Melanoma	down	ALDH9A1	-0.01355591882020235				
196	Melanoma	down	AVPI1	-0.013552322052419186				
197	Melanoma	down	TAX1BP3	-0.013525668531656265				
198	Melanoma	down	VPS28	-0.01351820956915617				
199	Melanoma	down	ADSL	-0.013476600870490074				
200	Melanoma	down	ERP29	-0.013405763544142246				
201	Melanoma	down	TMEM99	-0.01336206030100584				
202	Melanoma	down	COX7A2	-0.013351522386074066				
203	Melanoma	up	TMSB4XP8	0.1371750831604004				
204	Melanoma	up	KRT14	0.13191182911396027				
205	Melanoma	up	KRT6A	0.11870765686035156				
206	Melanoma	up	TGFBI	0.11435503512620926				
207	Melanoma	up	SDCBP	0.11336714774370193				
208	Melanoma	up	LDHB	0.10554574429988861				
209	Melanoma	up	MMP1	0.1013164147734642				
210	Melanoma	up	TMA7	0.09891029447317123				
211	Melanoma	up	CD63	0.09850353747606277				
212	Melanoma	up	IFI27	0.09734184294939041				
213	Melanoma	up	H2AFZ	0.09650148451328278				
214	Melanoma	up	NPM1	0.0837797001004219				
215	Melanoma	up	IFITM3	0.08164814859628677				
216	Melanoma	up	FABP5	0.08138345181941986				
217	Melanoma	up	FTH1P5	0.07836122065782547				
218	Melanoma	up	S100A4	0.07529065757989883				
219	Melanoma	up	IFITM1	0.07408230006694794				
220	Melanoma	up	MRFAP1	0.0713648796081543				
221	Melanoma	up	HIF1A	0.07121594995260239				
222	Melanoma	up	KRT5	0.06992843002080917				
223	Melanoma	up	IFI30	0.06913676112890244				
224	Melanoma	up	RPL22L1	0.06882810592651367				
225	Melanoma	up	CCNG1	0.06580504029989243				
226	Melanoma	up	SRP9	0.06532317399978638				
227	Melanoma	up	PSME2	0.06393387913703918				
228	Melanoma	up	HLA-DRB4	0.0637163296341896				
229	Melanoma	up	CDK2AP1	0.06006411835551262				
230	Melanoma	up	LAP3	0.05983952432870865				
231	Melanoma	up	HLA-DRB1	0.0596768744289875				
232	Melanoma	up	LGALS3BP	0.0596531443297863				
233	Melanoma	up	IFI16	0.05950481817126274				
234	Melanoma	up	SNRPG	0.057735223323106766				
235	Melanoma	up	HMGN1	0.05757966637611389				
236	Melanoma	up	FTH1	0.05663049593567848				
237	Melanoma	up	SAT1	0.05599265173077583				
238	Melanoma	up	GNG5	0.05498062074184418				
239	Melanoma	up	PLS3	0.05298405513167381				
240	Melanoma	up	TIMP1	0.052726179361343384				
241	Melanoma	up	ARF4	0.052629273384809494				
242	Melanoma	up	SNHG6	0.05236266553401947				
243	Melanoma	up	HLA-DRA	0.05181809887290001				
244	Melanoma	up	SPCS1	0.05125545337796211				
245	Melanoma	up	HLA-DRB5	0.051198117434978485				
246	Melanoma	up	QPCT	0.05075913667678833				
247	Melanoma	up	SFN	0.049663644284009933				
248	Melanoma	up	TXNDC5	0.04959826543927193				
249	Melanoma	up	ISCU	0.0492761954665184				
250	Melanoma	up	IFITM2	0.0481698252260685				
251	Melanoma	up	PRDX1	0.04784929379820824				
252	Melanoma	up	HSP90AA1	0.047723304480314255				
253	Melanoma	up	NGFRAP1	0.04738900437951088				
254	Melanoma	up	MIR21	0.046941112726926804				
255	Melanoma	up	MLPH	0.04643399640917778				
256	Melanoma	up	KRT6B	0.04639148339629173				
257	Melanoma	up	CSTA	0.045894771814346313				
258	Melanoma	up	MX1	0.04574928060173988				
259	Melanoma	up	ISG15	0.045609958469867706				
260	Melanoma	up	CTGF	0.045321352779865265				
261	Melanoma	up	IFI6	0.04510602355003357				
262	Melanoma	up	SEP15	0.04502956569194794				
263	Melanoma	up	TRIM22	0.04455072805285454				
264	Melanoma	up	STXBP1	0.04447237029671669				
265	Melanoma	up	ANXA5	0.0443301759660244				
266	Melanoma	up	PRAME	0.043339528143405914				
267	Melanoma	up	MRPL3	0.04267149046063423				
268	Melanoma	up	GSTO1	0.04111171513795853				
269	Melanoma	up	PTTG1	0.04091363027691841				
270	Melanoma	up	PABPC3	0.04042080044746399				
271	Melanoma	up	HNRNPA1P10	0.04039479419589043				
272	Melanoma	up	OSBPL9	0.040243908762931824				
273	Melanoma	up	CAV1	0.04022623226046562				
274	Melanoma	up	LUM	0.04016140103340149				
275	Melanoma	up	YBX1	0.03996150195598602				
276	Melanoma	up	TRMT112	0.03955421969294548				
